
Google  Inc.,Last: 2670.01,Change:  -20.38
Date: 2022年2月28日 GMT-5 15:49,Bid: 2666.8101,Ask: 2671.3799,Size: 1*1,"Volume: 510,752"
Expiration Date,Calls,Last Sale,Net,Bid,Ask,Volume,IV,Delta,Gamma,Open Interest,Strike,Puts,Last Sale,Net,Bid,Ask,Volume,IV,Delta,Gamma,Open Interest
Fri Jan 20 2023,GOOG230120C01000000,1756,0,1681.6,1696,0,0.4802,0.9949,0,65,1000.00,GOOG230120P01000000,2.45,0,1.8,3.7,0,0.4643,-0.0068,0,287
Fri Jan 20 2023,GOOG230120C01020000,1920.6,0,1661.6,1676.5,0,0.4777,0.9942,0,22,1020.00,GOOG230120P01020000,4.86,0,2.05,4,0,0.4614,-0.0074,0,37
Fri Jan 20 2023,GOOG230120C01040000,0,0,1642.2,1657.1,0,0.4732,0.9935,0,44,1040.00,GOOG230120P01040000,5.7,0,2.4,4.4,0,0.46,-0.0082,0,94
Fri Jan 20 2023,GOOG230120C01060000,0,0,1622.7,1637.7,0,0.4701,0.9927,0,22,1060.00,GOOG230120P01060000,2.6,0,2.65,4.7,0,0.4563,-0.0089,0,93
Fri Jan 20 2023,GOOG230120C01080000,0,0,1603.4,1618.3,0,0.4667,0.9919,0,21,1080.00,GOOG230120P01080000,3.26,0,3,5.1,0,0.454,-0.0098,0,52
Fri Jan 20 2023,GOOG230120C01100000,0,0,1584,1598.9,0,0.4682,0.991,0,31,1100.00,GOOG230120P01100000,6.4,2.3,3.3,5.6,2,0.4517,-0.0107,0,88
Fri Jan 20 2023,GOOG230120C01120000,0,0,1564.7,1579.6,0,0.461,0.99,0,17,1120.00,GOOG230120P01120000,5.5,0,3.7,6.1,0,0.4497,-0.0116,0,54
Fri Jan 20 2023,GOOG230120C01140000,0,0,1545.4,1560.3,0,0.458,0.989,0,14,1140.00,GOOG230120P01140000,4.73,0,4.2,6.6,0,0.4478,-0.0126,0,78
Fri Jan 20 2023,GOOG230120C01160000,0,0,1526.2,1541.1,0,0.4558,0.988,0,21,1160.00,GOOG230120P01160000,5.55,0,4.7,7.1,0,0.4456,-0.0137,0,43
Fri Jan 20 2023,GOOG230120C01180000,0,0,1507,1521.9,0,0.4532,0.9868,0,12,1180.00,GOOG230120P01180000,5.88,0,5.2,7.7,0,0.4435,-0.0148,0,23
Fri Jan 20 2023,GOOG230120C01200000,0,0,1489,1502.7,0,0.4532,0.9856,0,19,1200.00,GOOG230120P01200000,6.6,0,6.4,8.3,0,0.4446,-0.016,0,162
Fri Jan 20 2023,GOOG230120C01220000,0,0,1469.3,1484.1,0,0.4481,0.9843,0,17,1220.00,GOOG230120P01220000,10.25,0,7,9,0,0.4426,-0.0173,0,65
Fri Jan 20 2023,GOOG230120C01240000,0,0,1450.2,1465,0,0.4455,0.983,0,18,1240.00,GOOG230120P01240000,11.15,0,7.1,9.7,0,0.438,-0.0187,0,50
Fri Jan 20 2023,GOOG230120C01260000,0,0,1431.2,1446,0,0.4434,0.9816,0,12,1260.00,GOOG230120P01260000,12.15,0,7.6,10.5,0,0.4354,-0.0201,0,249
Fri Jan 20 2023,GOOG230120C01280000,1597.55,0,1412.2,1426.9,0,0.4406,0.98,0,12,1280.00,GOOG230120P01280000,13.2,0,8.4,11.3,0,0.4338,-0.0216,0,88
Fri Jan 20 2023,GOOG230120C01300000,1291.61,0,1393.8,1408,0,0.4404,0.9785,0,22,1300.00,GOOG230120P01300000,12,0,9.1,12.1,0,0.4314,-0.0232,0,298
Fri Jan 20 2023,GOOG230120C01320000,1360.92,0,1374.3,1389,0,0.4357,0.9768,0,13,1320.00,GOOG230120P01320000,12.13,0,9.9,13,0,0.4294,-0.0249,0,236
Fri Jan 20 2023,GOOG230120C01340000,1341.88,0,1355.4,1370.2,0,0.4335,0.9751,0.0001,11,1340.00,GOOG230120P01340000,12.23,0.68,10.7,13.9,5,0.427,-0.0266,0.0001,32
Fri Jan 20 2023,GOOG230120C01360000,0,0,1336.6,1351.3,0,0.431,0.9732,0.0001,19,1360.00,GOOG230120P01360000,13.2,0.8,11.6,14.9,5,0.4251,-0.0285,0.0001,30
Fri Jan 20 2023,GOOG230120C01380000,1542.7,0,1317.8,1332.5,0,0.4285,0.9713,0.0001,7,1380.00,GOOG230120P01380000,13.1,0,12.5,15.9,0,0.4228,-0.0304,0.0001,82
Fri Jan 20 2023,GOOG230120C01400000,1445,0,1299.6,1313.7,0,0.4274,0.9693,0.0001,41,1400.00,GOOG230120P01400000,14.9,0.8,13.4,16,2,0.4177,-0.0324,0.0001,229
Fri Jan 20 2023,GOOG230120C01410000,1572.17,0,1289.7,1304.4,0,0.4248,0.9683,0.0001,4,1410.00,GOOG230120P01410000,14.8,0,13.9,17.5,0,0.4193,-0.0335,0.0001,168
Fri Jan 20 2023,GOOG230120C01420000,0,0,1280.3,1295,0,0.4233,0.9672,0.0001,21,1420.00,GOOG230120P01420000,14.4,0,15.4,18.1,0,0.4209,-0.0345,0.0001,62
Fri Jan 20 2023,GOOG230120C01430000,0,0,1271,1285.7,0,0.4223,0.9661,0.0001,0,1430.00,GOOG230120P01430000,14.7,0,15.1,18.5,0,0.4172,-0.0356,0.0001,59
Fri Jan 20 2023,GOOG230120C01440000,0,0,1261.7,1276.4,0,0.4212,0.965,0.0001,8,1440.00,GOOG230120P01440000,22.97,0,16.1,19.1,0,0.4172,-0.0367,0.0001,76
Fri Jan 20 2023,GOOG230120C01450000,1350,0,1252.9,1267.1,0,0.4211,0.9639,0.0001,5,1450.00,GOOG230120P01450000,23.82,0,16.7,19.7,0,0.4162,-0.0379,0.0001,29
Fri Jan 20 2023,GOOG230120C01460000,1306.5,0,1243.1,1257.8,0,0.4187,0.9628,0.0001,3,1460.00,GOOG230120P01460000,19.57,0,17.3,20.3,0,0.4151,-0.039,0.0001,35
Fri Jan 20 2023,GOOG230120C01470000,0,0,1233.8,1248.5,0,0.4174,0.9616,0.0001,2,1470.00,GOOG230120P01470000,16.1,0,17.9,20.9,0,0.414,-0.0402,0.0001,17
Fri Jan 20 2023,GOOG230120C01480000,0,0,1224.5,1239.2,0,0.416,0.9604,0.0001,4,1480.00,GOOG230120P01480000,13.46,0,17.8,21.6,0,0.4114,-0.0414,0.0001,6
Fri Jan 20 2023,GOOG230120C01490000,1328,0,1215.3,1230,0,0.415,0.9592,0.0001,3,1490.00,GOOG230120P01490000,18.2,0,18.6,22.4,0,0.411,-0.0426,0.0001,34
Fri Jan 20 2023,GOOG230120C01500000,1113.4,0,1206.6,1220.8,0,0.4151,0.9579,0.0001,67,1500.00,GOOG230120P01500000,26.85,0,19.2,23,0,0.4097,-0.0439,0.0001,190
Fri Jan 20 2023,GOOG230120C01510000,0,0,1196.8,1211.5,0,0.4125,0.9566,0.0001,2,1510.00,GOOG230120P01510000,27.65,0,19.6,23.7,0,0.4082,-0.0452,0.0001,9
Fri Jan 20 2023,GOOG230120C01515000,0,0,1192.2,1206.9,0,0.4119,0.956,0.0001,3,1515.00,GOOG230120P01515000,29.65,0,20.1,24,0,0.4079,-0.0458,0.0001,5
Fri Jan 20 2023,GOOG230120C01520000,0,0,1187.6,1202.3,0,0.4113,0.9553,0.0001,3,1520.00,GOOG230120P01520000,18.1,0,20.3,24.5,0,0.4074,-0.0465,0.0001,21
Fri Jan 20 2023,GOOG230120C01525000,0,0,1183,1197.7,0,0.4107,0.9547,0.0001,2,1525.00,GOOG230120P01525000,18.4,0,20.8,24.5,0,0.4064,-0.0472,0.0001,58
Fri Jan 20 2023,GOOG230120C01530000,1213.5,0,1178.4,1193.2,0,0.4103,0.954,0.0001,2,1530.00,GOOG230120P01530000,21.6,0,20.9,25.3,0,0.4063,-0.0478,0.0001,4
Fri Jan 20 2023,GOOG230120C01535000,0,0,1173.9,1188.6,0,0.4099,0.9533,0.0001,1,1535.00,GOOG230120P01535000,0,0,21.3,25.4,0,0.4053,-0.0485,0.0001,0
Fri Jan 20 2023,GOOG230120C01540000,0,0,1169.3,1184,0,0.4092,0.9526,0.0001,14,1540.00,GOOG230120P01540000,0,0,21.8,26,0,0.4056,-0.0492,0.0001,1
Fri Jan 20 2023,GOOG230120C01545000,0,0,1164.7,1179.4,0,0.4086,0.952,0.0001,2,1545.00,GOOG230120P01545000,0,0,22,26.3,0,0.4046,-0.0499,0.0001,0
Fri Jan 20 2023,GOOG230120C01550000,0,0,1160.3,1174.8,0,0.4083,0.9513,0.0001,7,1550.00,GOOG230120P01550000,15.5,0,22.3,26.8,0,0.4042,-0.0506,0.0001,132
Fri Jan 20 2023,GOOG230120C01555000,0,0,1155.5,1170.3,0,0.4074,0.9506,0.0001,7,1555.00,GOOG230120P01555000,26,0,22.7,27.1,0,0.4035,-0.0513,0.0001,5
Fri Jan 20 2023,GOOG230120C01560000,0,0,1151,1165.7,0,0.4071,0.9499,0.0001,4,1560.00,GOOG230120P01560000,20.8,0,23,27.3,0,0.4025,-0.052,0.0001,11
Fri Jan 20 2023,GOOG230120C01565000,0,0,1146.4,1161.1,0,0.4062,0.9492,0.0001,6,1565.00,GOOG230120P01565000,0,0,23.4,27.8,0,0.4023,-0.0527,0.0001,44
Fri Jan 20 2023,GOOG230120C01570000,1466.7,0,1141.8,1156.6,0,0.4056,0.9484,0.0001,2,1570.00,GOOG230120P01570000,25,0,24,28.1,0,0.402,-0.0534,0.0001,15
Fri Jan 20 2023,GOOG230120C01575000,1164.5,0,1137.3,1152,0,0.405,0.9477,0.0001,4,1575.00,GOOG230120P01575000,0,0,24.3,28.5,0,0.4013,-0.0542,0.0001,7
Fri Jan 20 2023,GOOG230120C01580000,0,0,1132.7,1147,0,0.4036,0.947,0.0001,5,1580.00,GOOG230120P01580000,0,0,24.7,28.9,0,0.4008,-0.0549,0.0001,7
Fri Jan 20 2023,GOOG230120C01585000,0,0,1128.2,1142.4,0,0.4032,0.9462,0.0001,2,1585.00,GOOG230120P01585000,0,0,24.9,29.1,0,0.3995,-0.0556,0.0001,1
Fri Jan 20 2023,GOOG230120C01590000,0,0,1123.6,1138,0,0.4026,0.9455,0.0001,3,1590.00,GOOG230120P01590000,0,0,25.8,29.7,0,0.4002,-0.0564,0.0001,11
Fri Jan 20 2023,GOOG230120C01595000,0,0,1119.1,1133.5,0,0.4022,0.9447,0.0001,2,1595.00,GOOG230120P01595000,37,0,25.7,29.7,0,0.3981,-0.0572,0.0001,41
Fri Jan 20 2023,GOOG230120C01600000,984.49,0,1114.6,1129,0,0.4031,0.944,0.0001,94,1600.00,GOOG230120P01600000,32.1,0,26.3,30.6,0,0.3988,-0.0579,0.0001,93
Fri Jan 20 2023,GOOG230120C01610000,1398,0,1105.5,1120,0,0.4006,0.9424,0.0001,9,1610.00,GOOG230120P01610000,0,0,27.1,31.2,0,0.3972,-0.0595,0.0001,1
Fri Jan 20 2023,GOOG230120C01620000,0,0,1096.5,1111,0,0.3996,0.9409,0.0001,20,1620.00,GOOG230120P01620000,0,0,27.9,31.9,0,0.3959,-0.061,0.0001,1
Fri Jan 20 2023,GOOG230120C01630000,0,0,1087.4,1102,0,0.3984,0.9393,0.0001,23,1630.00,GOOG230120P01630000,0,0,28.7,32.7,0,0.3946,-0.0627,0.0001,3
Fri Jan 20 2023,GOOG230120C01640000,0,0,1078.4,1093,0,0.3972,0.9376,0.0001,2,1640.00,GOOG230120P01640000,0,0,29.6,33.6,0,0.3936,-0.0643,0.0001,1
Fri Jan 20 2023,GOOG230120C01650000,0,0,1069.5,1084.2,0,0.3965,0.936,0.0001,5,1650.00,GOOG230120P01650000,32,1.25,30.4,34.6,1,0.3925,-0.066,0.0001,30
Fri Jan 20 2023,GOOG230120C01660000,0,0,1060.5,1075.2,0,0.3953,0.9343,0.0001,1,1660.00,GOOG230120P01660000,0,0,31.3,35.5,0,0.3914,-0.0677,0.0001,24
Fri Jan 20 2023,GOOG230120C01670000,1083.4,0,1051.5,1066,0,0.3937,0.9326,0.0001,6,1670.00,GOOG230120P01670000,30,0,32.2,36.5,0,0.3904,-0.0694,0.0001,15
Fri Jan 20 2023,GOOG230120C01680000,0,0,1042.6,1057,0,0.3925,0.9308,0.0001,7,1680.00,GOOG230120P01680000,57,0,33.2,37.4,0,0.3893,-0.0712,0.0001,19
Fri Jan 20 2023,GOOG230120C01690000,0,0,1033.7,1048,0,0.3913,0.9291,0.0001,4,1690.00,GOOG230120P01690000,30.6,0,34.1,38.4,0,0.3882,-0.0729,0.0001,7
Fri Jan 20 2023,GOOG230120C01700000,936.06,0,1024.8,1039,0,0.39,0.9273,0.0001,55,1700.00,GOOG230120P01700000,40,0,35.1,39.4,0,0.3871,-0.0748,0.0001,68
Fri Jan 20 2023,GOOG230120C01710000,0,0,1015.9,1030.5,0,0.3894,0.9254,0.0001,4,1710.00,GOOG230120P01710000,29.61,0,36,40.5,0,0.386,-0.0766,0.0001,31
Fri Jan 20 2023,GOOG230120C01720000,1072.25,0,1007,1021.5,0,0.388,0.9236,0.0001,5,1720.00,GOOG230120P01720000,56,0,37,42,0,0.3856,-0.0785,0.0001,21
Fri Jan 20 2023,GOOG230120C01740000,1057.2,0,989.4,1004.1,0,0.3862,0.9197,0.0002,6,1740.00,GOOG230120P01740000,35,0,39.1,43.7,0,0.3828,-0.0824,0.0002,113
Fri Jan 20 2023,GOOG230120C01750000,903.17,0,980.6,994.5,0,0.385,0.9178,0.0002,23,1750.00,GOOG230120P01750000,50.5,0,39.8,44.8,0,0.3813,-0.0844,0.0002,218
Fri Jan 20 2023,GOOG230120C01760000,1054.61,0,971.8,986.5,0,0.3839,0.9158,0.0002,12,1760.00,GOOG230120P01760000,36.8,0,41.2,46.7,0,0.3816,-0.0864,0.0002,25
Fri Jan 20 2023,GOOG230120C01780000,843.76,0,954.3,969,0,0.3816,0.9116,0.0002,11,1780.00,GOOG230120P01780000,0,0,43.4,49,0,0.3793,-0.0905,0.0002,23
Fri Jan 20 2023,GOOG230120C01800000,965,0,936.9,951,0,0.3796,0.9074,0.0002,101,1800.00,GOOG230120P01800000,49.5,3.85,45.4,50.9,8,0.3762,-0.0948,0.0002,76
Fri Jan 20 2023,GOOG230120C01820000,992,0,919.6,934.3,0,0.3772,0.903,0.0002,27,1820.00,GOOG230120P01820000,45.7,0,47.8,53.6,0,0.3742,-0.0992,0.0002,51
Fri Jan 20 2023,GOOG230120C01840000,975,0,902.3,917,0,0.3748,0.8985,0.0002,16,1840.00,GOOG230120P01840000,71,0,50.7,56.4,0,0.3728,-0.1038,0.0002,1064
Fri Jan 20 2023,GOOG230120C01850000,1024.88,0,894.6,908,0,0.3742,0.8962,0.0002,22,1850.00,GOOG230120P01850000,58.58,0,51.5,57.6,0,0.371,-0.1061,0.0002,45
Fri Jan 20 2023,GOOG230120C01860000,950.7,0,885.2,900,0,0.3728,0.8939,0.0002,8,1860.00,GOOG230120P01860000,47.7,0,52.8,58.5,0,0.3694,-0.1084,0.0002,116
Fri Jan 20 2023,GOOG230120C01880000,787,0,868.2,882.5,0,0.3701,0.8891,0.0002,22,1880.00,GOOG230120P01880000,69,0,55.6,61.5,0,0.3677,-0.1133,0.0002,236
Fri Jan 20 2023,GOOG230120C01900000,803,0,852.2,866,0,0.3693,0.8841,0.0002,61,1900.00,GOOG230120P01900000,65.02,0,59,64.7,0,0.3665,-0.1183,0.0002,339
Fri Jan 20 2023,GOOG230120C01920000,946,0,834.4,849,0,0.366,0.879,0.0002,21,1920.00,GOOG230120P01920000,77.9,0,62,67.5,0,0.3643,-0.1235,0.0002,163
Fri Jan 20 2023,GOOG230120C01940000,1113.43,0,817.8,832.5,0,0.3642,0.8737,0.0002,110,1940.00,GOOG230120P01940000,48.58,0,65,70.9,0,0.3624,-0.1288,0.0002,21
Fri Jan 20 2023,GOOG230120C01950000,946.44,0,810.5,824,0,0.3639,0.871,0.0002,12,1950.00,GOOG230120P01950000,76,0,66.6,72.5,0,0.3614,-0.1315,0.0002,117
Fri Jan 20 2023,GOOG230120C01960000,842.68,0,801.2,816,0,0.3622,0.8683,0.0002,13,1960.00,GOOG230120P01960000,71.1,3.9,67.4,74.5,4,0.36,-0.1343,0.0002,84
Fri Jan 20 2023,GOOG230120C01980000,710.6,0,784.7,799.5,0,0.3601,0.8627,0.0002,22,1980.00,GOOG230120P01980000,53.78,0,71.5,77.3,0,0.3583,-0.1399,0.0002,250
Fri Jan 20 2023,GOOG230120C02000000,775,-15.95,769.5,783,1,0.3589,0.857,0.0002,174,2000.00,GOOG230120P02000000,73.4,-0.25,74.9,80.8,22,0.3563,-0.1457,0.0002,227
Fri Jan 20 2023,GOOG230120C02050000,650.1,0,729.4,743,0,0.3543,0.842,0.0003,62,2050.00,GOOG230120P02050000,80.8,0,83.1,90.1,0,0.3507,-0.1609,0.0003,105
Fri Jan 20 2023,GOOG230120C02100000,700.06,0,689.5,703.5,0,0.349,0.8259,0.0003,119,2100.00,GOOG230120P02100000,90.65,0,93.1,100.5,0,0.3463,-0.1772,0.0003,2285
Fri Jan 20 2023,GOOG230120C02150000,658.18,-13.37,651.9,664,2,0.3444,0.8088,0.0003,273,2150.00,GOOG230120P02150000,107.1,4.25,104,112.3,1,0.3423,-0.1946,0.0003,1508
Fri Jan 20 2023,GOOG230120C02200000,616.87,-16.73,614.7,627.5,4,0.3408,0.7906,0.0003,229,2200.00,GOOG230120P02200000,110.5,-3.4,116.5,123.8,2,0.338,-0.213,0.0003,235
Fri Jan 20 2023,GOOG230120C02250000,590.9,-5.75,578.2,590.5,2,0.3362,0.7714,0.0004,187,2250.00,GOOG230120P02250000,153.5,0,128.8,137.6,0,0.3339,-0.2324,0.0004,266
Fri Jan 20 2023,GOOG230120C02300000,542,-18.75,542.8,555,9,0.3321,0.7513,0.0004,298,2300.00,GOOG230120P02300000,193.4,0,142.9,152.5,0,0.3303,-0.2529,0.0004,2684
Fri Jan 20 2023,GOOG230120C02350000,517.42,0,507.9,520.9,0,0.3279,0.7302,0.0004,84,2350.00,GOOG230120P02350000,154.9,0,158.2,167,0,0.326,-0.2744,0.0004,2988
Fri Jan 20 2023,GOOG230120C02400000,500,0,474.7,487.3,0,0.3239,0.7082,0.0004,269,2400.00,GOOG230120P02400000,166,-5.05,174.4,184,1,0.3225,-0.2968,0.0004,1991
Fri Jan 20 2023,GOOG230120C02450000,459,0,443.5,456.4,0,0.3213,0.6853,0.0004,118,2450.00,GOOG230120P02450000,183,-5.25,192.5,201.9,5,0.3193,-0.32,0.0004,197
Fri Jan 20 2023,GOOG230120C02500000,435.5,6.85,412.2,424.7,10,0.3169,0.6618,0.0005,448,2500.00,GOOG230120P02500000,207.76,1.01,211.2,220.5,2,0.3155,-0.3441,0.0005,2052
Fri Jan 20 2023,GOOG230120C02550000,333.39,0,383.5,395.1,0,0.3139,0.6375,0.0005,79,2550.00,GOOG230120P02550000,218,-8.55,231.4,241.9,1,0.3129,-0.3688,0.0005,1320
Fri Jan 20 2023,GOOG230120C02600000,359.22,-10.78,354.9,367.5,1,0.3108,0.6128,0.0005,405,2600.00,GOOG230120P02600000,240.9,-6.75,253,263.6,1,0.3098,-0.3942,0.0005,2338
Fri Jan 20 2023,GOOG230120C02650000,328.7,-11.95,328.7,340.7,11,0.3081,0.5875,0.0005,121,2650.00,GOOG230120P02650000,262.9,-7.25,276.5,286.8,1,0.3072,-0.4201,0.0005,215
Fri Jan 20 2023,GOOG230120C02700000,310,-6,303.3,314.9,1,0.3051,0.562,0.0005,404,2700.00,GOOG230120P02700000,312,17.9,300.5,311.4,6,0.3043,-0.4463,0.0005,3037
Fri Jan 20 2023,GOOG230120C02750000,298.7,6.9,278.6,290.7,1,0.302,0.5362,0.0005,152,2750.00,GOOG230120P02750000,404.9,0,325.6,337.6,0,0.3016,-0.4728,0.0005,224
Fri Jan 20 2023,GOOG230120C02800000,267,-1.2,255.7,267.6,11,0.2992,0.5104,0.0005,250,2800.00,GOOG230120P02800000,363.7,16.85,354,363.6,1,0.2991,-0.4995,0.0005,361
Fri Jan 20 2023,GOOG230120C02850000,251,0,234.7,246.6,0,0.2973,0.4846,0.0005,182,2850.00,GOOG230120P02850000,391.4,16.25,381.7,392,1,0.2963,-0.5262,0.0006,266
Fri Jan 20 2023,GOOG230120C02900000,220,-6.1,214.3,226,12,0.2946,0.4589,0.0005,519,2900.00,GOOG230120P02900000,424,20,412,423.5,1,0.2951,-0.5527,0.0006,565
Fri Jan 20 2023,GOOG230120C02950000,208.7,0,196.7,207.1,0,0.293,0.4336,0.0005,534,2950.00,GOOG230120P02950000,507.8,0,442.7,455.1,0,0.2929,-0.579,0.0006,197
Fri Jan 20 2023,GOOG230120C03000000,182,-6.95,178.4,187,23,0.2893,0.4087,0.0005,960,3000.00,GOOG230120P03000000,487,19.4,475.1,488.2,5,0.2912,-0.6049,0.0006,799
Fri Jan 20 2023,GOOG230120C03050000,172.9,0.9,162.3,173.4,3,0.289,0.3844,0.0005,94,3050.00,GOOG230120P03050000,498.4,0,509.2,522,0,0.2895,-0.6304,0.0005,28
Fri Jan 20 2023,GOOG230120C03100000,153.56,-3.29,148.3,158.6,4,0.288,0.3607,0.0005,983,3100.00,GOOG230120P03100000,545,0,544.2,556.4,0,0.2874,-0.6552,0.0005,62
Fri Jan 20 2023,GOOG230120C03150000,144.6,1.8,133.5,144.5,3,0.2859,0.3377,0.0005,148,3150.00,GOOG230120P03150000,414.63,0,580.5,594.8,0,0.287,-0.6794,0.0005,32
Fri Jan 20 2023,GOOG230120C03200000,124.62,-4.88,121.9,131.2,6,0.2849,0.3156,0.0005,612,3200.00,GOOG230120P03200000,554.24,0,618.3,630.8,0,0.285,-0.7027,0.0005,41
Fri Jan 20 2023,GOOG230120C03250000,120,2.4,110.4,119.2,1,0.2836,0.2944,0.0005,51,3250.00,GOOG230120P03250000,766.7,0,657.1,670.1,0,0.2844,-0.7252,0.0005,36
Fri Jan 20 2023,GOOG230120C03300000,103.38,-3.07,99.5,106.5,5,0.2813,0.2741,0.0005,144,3300.00,GOOG230120P03300000,643.8,0,696.9,709.6,0,0.2833,-0.7468,0.0005,40
Fri Jan 20 2023,GOOG230120C03350000,73.6,0,90.2,96.5,0,0.2805,0.2548,0.0004,59,3350.00,GOOG230120P03350000,777.62,0,737.7,750.4,0,0.2826,-0.7675,0.0005,15
Fri Jan 20 2023,GOOG230120C03400000,82.95,0,80.5,88.5,0,0.2797,0.2365,0.0004,481,3400.00,GOOG230120P03400000,711.4,0,779.5,792.8,0,0.2826,-0.7871,0.0005,24
Fri Jan 20 2023,GOOG230120C03450000,81.65,2.45,72.8,79.5,1,0.2787,0.2193,0.0004,160,3450.00,GOOG230120P03450000,833.9,22,822,834.3,1,0.2814,-0.8057,0.0004,4
Fri Jan 20 2023,GOOG230120C03500000,70,-1.5,65.8,72.7,18,0.2787,0.2032,0.0004,205,3500.00,GOOG230120P03500000,840,0,865.3,878.8,0,0.282,-0.8233,0.0004,12
Fri Jan 20 2023,GOOG230120C03550000,47.25,0,59.6,65.7,0,0.2783,0.188,0.0004,48,3550.00,GOOG230120P03550000,848.1,0,910,922.6,0,0.2821,-0.8398,0.0004,6
Fri Jan 20 2023,GOOG230120C03600000,60,2,53.6,59.9,1,0.2781,0.1739,0.0004,107,3600.00,GOOG230120P03600000,1098.6,0,954.3,966.8,0,0.2813,-0.8554,0.0004,26
Fri Jan 20 2023,GOOG230120C03700000,49.15,1.25,43.5,50,1,0.2783,0.1485,0.0003,82,3700.00,GOOG230120P03700000,993.34,0,1045.9,1059,0,0.2829,-0.8835,0.0004,12
Fri Jan 20 2023,GOOG230120C03800000,40.6,0,35.5,41.4,0,0.2786,0.1269,0.0003,189,3800.00,GOOG230120P03800000,1007.69,0,1140.4,1152.6,0,0.2856,-0.908,0.0003,14
Fri Jan 20 2023,GOOG230120C03900000,31.4,-1.15,29.1,34.6,1,0.2794,0.1085,0.0003,153,3900.00,GOOG230120P03900000,982.16,0,1234.4,1247.8,0,0.2864,-0.929,0.0003,41
Fri Jan 20 2023,GOOG230120C04000000,26.4,-0.7,24.1,29.6,9,0.2814,0.093,0.0002,205,4000.00,GOOG230120P04000000,1064.2,0,1332.1,1344.3,0,0.2913,-0.9469,0.0003,55
Fri Jan 20 2023,GOOG230120C04100000,22,0,19.8,24.7,0,0.2823,0.0801,0.0002,211,4100.00,GOOG230120P04100000,1503.72,0,1428.1,1442.2,0,0.2928,-0.9622,0.0002,88
Fri Jan 20 2023,GOOG230120C04200000,17.8,0,16.5,21.4,0,0.2847,0.0693,0.0002,286,4200.00,GOOG230120P04200000,1590.2,0,1526.2,1540.3,0,0.2959,-0.9754,0.0002,158
